Epoxy_1_Test_1_Voltages,Epoxy_1_Test_1_NumOfFringes,Distance,Epoxy_1_Test_2_Voltages,Epoxy_1_Test_2_NumOfFringes,Distance,Wire_Grating_1_Voltages,Wire_Grating_1_NumOfFringes,Distance,KMSF_1_Voltages,KMSF_1_NumOfFringes,Distance,KMSF_2_NumOfFringes,KMSF_2_Voltages,Distance,Wire_Grating_2_NumOfFringes,Wire_Grating_2_Voltages,Distance
0,0,34,0,0,34,0,0,50,0,0,53,0,0,70,0,2,
22,0,28,20,0.25,28,44,0.5,60,23,0.25,44,20,0.1,72,23,2,
46,0.5,42,44,0.33,42,94,0.5,44,47,0.75,44,40,0.25,66,50,2,
92,1,48,70,0.6,48,140,1,48,94,2,56,70,1,108,71,3,
144,3,,94,0.9,,188,2,24,118,4.5,48,94,1.5,,93,3,
190,4,,120,1,,236,3,,142,6.5,46,120,1.75,,119,5,
236,6,,144,1.5,,284,3,,166,10.5,,144,3,,144,5,
286,9,,166,2,,328,4,,186,14,,164,3,,166,6,
332,18,,190,2.66,,372,4,,220,20.5,,190,6,,195,7,
380,22,,214,3.75,,,,,238,29,,226,8,,214,8,
,,,238,4.5,,,,,260,42,,244,7.5,,236,9,
,,,264,5,,,,,286,52,,260,8,,260,11,
,,,284,6.25,,,,,308,63,,284,10,,284,13,
,,,310,8.75,,,,,,,,330,11,,308,15,
,,,333,9.75,,,,,,,,380,15,,332,19,
,,,360,10.1,,,,,,,,,,,360,22,
,,,380,13,,,,,,,,,,,,,
